"learner","metric","value","metric_group","base_method","meta_type"
"tlasso","nmse_p75",0.539225,"nMSE","lasso","T-learner"
"tlasso","nmse_p90",0.75486,"nMSE","lasso","T-learner"
"tlasso","nmse_mean",0.433022,"nMSE","lasso","T-learner"
"tlasso","pct_beats_zero",0.967391,"vs_zero_pred","lasso","T-learner"
"tlasso","pct_worse_zero",0.032609,"vs_zero_pred","lasso","T-learner"
"tlasso","rank_corr_mean",0.802993,"rank_correlation","lasso","T-learner"
"tlasso","rank_corr_sd",0.140155,"rank_correlation","lasso","T-learner"
"tlasso","rank_corr_p10",0.62746,"rank_correlation","lasso","T-learner"
"tlasso","rank_corr_p50",0.8335,"rank_correlation","lasso","T-learner"
"tlasso","rank_corr_p90",0.94538,"rank_correlation","lasso","T-learner"
"tlasso","sign_sg1_rate",0.978261,"sign_recovery","lasso","T-learner"
"tlasso","sign_sg2_rate",0.880435,"sign_recovery","lasso","T-learner"
